,SMILES,Caco-2,CYP3A4,hERG,HOB,MN
21,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0,1,0,0,1
22,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,0,1,1,0,1
23,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,0,1,1,0,0
24,CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,1,1,0,1
25,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,0,1,1,0,1
26,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,0,1,1,0,1
27,CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,1,1,0,1
28,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,0,0,1,0,0
29,CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,1,1,0,1
30,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,0,1,1,0,1
31,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,0,1,1,0,1
32,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,0,1,1,0,1
33,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1,1,1,0,0
34,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,1,0,0,1
35,CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,0,0,1,1,0
36,C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,0,1,1,0,0
37,C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,0,1,1,0,0
38,CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,0,1,1,0,0
39,CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,0,1,0,0,1
40,C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,1,1,0,0
41,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,1,1,0,0
42,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
43,Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
44,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
45,Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
46,Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,1,1,0,1
47,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,1,1,0,1
48,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,0,1,1,0,1
49,Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
50,CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,1,0,1,1
51,CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,1,0,1,1
52,CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,0,1,1,0,1
53,CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,0,1,1,0,1
54,CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,0,1,1,0,1
55,Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,0,1,0,0,1
56,COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,1,1,1,0,1
57,Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,0,0,0,0,1
58,Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0,0,0,0,0
59,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,1,1,1,1,0
60,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,0,0,1
61,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,1,0,0
62,CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,0,0,1
63,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,0,0,0
64,CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,1,0,0,0,1
65,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,1,0,0,0,1
66,CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,0
67,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,0,1,1,0,1
68,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,0,1,1,0,1
69,Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,0,1,1,0,1
70,Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,0,1,0,0,1
71,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,1,0,0,0,1
72,Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,1,0,0,1,1
73,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,1,0,0,1,1
74,Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,1,0,0,1,1
75,Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
76,Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,0,1,1,0,1
77,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,1,1,0,0,1
78,Oc1ccc2C(N(CCc2c1)c3ccc(\C=C\C(=O)N4CCOCC4)cc3)c5ccccc5,0,1,1,0,1
79,Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3cccc4ccccc34)c5ccc(OCCN6CCCC6)cc5,0,1,1,0,1
80,CN(C)C(=O)\C=C\c1ccc(cc1)N2CCc3cc(O)ccc3C2c4ccccc4,0,1,1,0,1
81,Oc1ccc2C(C(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,0
82,Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4ccccc4,0,1,1,0,1
83,Oc1ccc2C(N(Cc3ccc4OCOc4c3)CCc2c1)c5ccc(OCCN6CCCC6)cc5,0,1,1,0,1
84,Oc1ccc2C(CC3CCCCC3)N(CCc2c1)c4ccccc4,1,1,1,0,1
85,Oc1ccc2C(Cc3ccccc3)N(CCc2c1)c4ccccc4,1,1,1,0,1
86,Oc1ccc2C(N(CCc2c1)C(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
87,Oc1ccc(cc1)C2CN(Cc3ccccc3)Cc4cc(O)ccc24,1,1,1,0,1
88,Oc1ccc2C(C3CCCCC3)N(CCc2c1)c4ccccc4,1,1,1,0,1
89,Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4cccc5ccccc45,0,1,1,0,1
90,Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(Br)cc3,0,1,0,0,1
91,Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)C(F)(F)F,1,1,1,0,1
92,Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
93,Oc1ccc(cc1)[C@H]2N(CCc3cc(O)ccc23)C(=O)C(F)(F)F,0,1,0,0,1
94,Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccc4ccccc4c3)c5ccc(OCCN6CCCC6)cc5,0,1,1,0,1
95,Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,1,1,0,0,1
96,CCCc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,1,0,0,1
97,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccccc4,1,1,1,0,1
98,Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,1,1,0,0,1
99,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
100,CC(C)C1N(CCc2cc(O)ccc12)c3ccccc3,1,1,1,0,1
101,Oc1ccc2C(N(Cc3ccccc3)CCc2c1)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
102,Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(OCCN4CCCC4)cc3,0,1,1,0,1
103,CCOC(=O)N1CCc2cc(O)ccc2C1c3ccc(OCCN4CCCC4)cc3,0,1,0,0,1
104,Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
105,Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
106,Oc1ccc(cc1)C2=Nc3c(O)cc(O)cc3OC2,1,0,0,0,1
107,Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
108,Oc1ccc(cc1)[C@@H]2Sc3c(Cl)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
109,CN(C)CCOc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4cccc(O)c4,0,1,1,0,0
110,CCC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,0,0,0,1
111,Oc1ccc2[C@H]([C@H](CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,0
112,Oc1ccc2C3=Nc4ccc(O)cc4OC3Cc2c1,0,0,0,0,1
113,CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
114,Cc1cc2S[C@H]([C@H](Oc2cc1O)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
115,CC1(C)Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,1,0,0,1
116,CCC(=C(c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,1,1,1,0,0
117,Oc1ccc(cc1)[C@@H]2Sc3ccc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
118,Oc1cccc(c1)C2Sc3cc(O)ccc3OC2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
119,CC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5cccc(O)c5)CC1,0,1,1,0,0
120,CCC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,1,1,0,0,1
121,CC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)cc3,1,0,0,0,1
122,Oc1ccc(cc1)[C@@H]2Sc3c(F)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
123,Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
124,Oc1ccc(cc1)[C@H]2[C@H](Oc3ccc(O)cc3S2(=O)=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
125,CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
126,Cc1cc(O)cc2O[C@@H]([C@@H](Sc12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
127,Oc1ccc2OC(C(Sc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
128,CCC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)cc3,1,0,0,0,1
129,CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
130,Oc1ccc(cc1)C2=C(Oc3ccc(O)cc3S2)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
131,CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
132,CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
133,Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
134,Cc1cc(O)cc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
135,Oc1ccc(cc1)[C@H]2Sc3c(F)c(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
136,Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
137,Oc1ccc(cc1)[C@@H]2Cc3ccc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
138,Oc1ccc2O[C@@H]([C@@H](Sc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
139,Oc1ccc(cc1)[C@@H]2Sc3c(Cl)cc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
140,CC1(C)Oc2cc(O)cc(O)c2N=C1c3ccc(O)c(Br)c3,0,1,0,0,1
141,CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
142,CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCCCC5)cc4,0,1,0,0,1
143,Oc1ccc(cc1)[C@@H]2Sc3c(O)cc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
144,Oc1ccc2C3=Nc4ccc(O)cc4OC3CCc2c1,1,1,0,0,1
145,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
146,CC(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
147,Oc1ccc(cc1)[C@@H]2Sc3ccccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
148,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,1,1,1,0,0
149,Oc1ccc(cc1)[C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
150,Oc1ccc(cc1)C2=Nc3ccc(O)cc3OC2,1,0,0,0,1
151,CCC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)c(Br)c3,0,0,0,0,1
152,CC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,1,1,0,0,1
153,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(F)cc4,1,1,1,0,1
154,CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
155,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
156,CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
157,Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
158,Oc1ccc2O[C@@H]([C@@H](Sc2c1)c3ccccc3O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
159,CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
160,CCc1cc(O)cc2O[C@@H]([C@@H](Sc12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
161,Oc1ccc(cc1)[C@@H]2Sc3cc(O)cc(Cl)c3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
162,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
163,COc1ccc(cc1)C2Sc3cc(O)ccc3OC2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
164,CC1CCCC(C)N1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5cccc(O)c5,0,1,1,0,1
165,CCCC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,1,0,1,0,1
166,Oc1ccc(cc1)[C@@H]2Sc3cc(Cl)c(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
167,CCc1c(O)ccc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
168,CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
169,CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
170,Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCOCC5)cc4,0,1,1,0,1
171,Cc1c(O)ccc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
172,CC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,0,0,0,1
173,CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
174,CC1(N(CCc2cc(O)ccc12)c3cccc(F)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
175,Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCNC5CCCCCC5)cc4,0,1,1,0,1
176,Oc1ccc2OC(C(Sc2c1)c3ccc(F)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
177,Oc1ccc2C(=O)c3oc4cc(O)ccc4c3Oc2c1,0,0,0,1,1
178,COc1cc(O)c2C(=O)c3c(Oc2c1)oc4cc(O)ccc34,1,1,0,0,1
179,Oc1cc(O)c2C(=O)c3oc4c(cc(O)cc4c3Oc2c1)C#N,1,1,0,0,1
180,Oc1cc(O)c2C(=O)c3sc4ccccc4c3Oc2c1,0,1,0,1,1
181,CC1=C(c2ccc(O)cc2)C3(Cc4ccccc4C3)c5ccc(O)cc15,1,1,0,0,0
182,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2,1,0,0,0,1
183,CC1=CC[C@@]2(CO)COC([C@@H]1C2)c3ccc(O)cc3,0,1,1,0,0
184,Oc1ccc2CC3(Cc2c1)C(=Cc4ccccc34)c5ccccc5,1,1,0,0,0
185,Oc1ccc2Oc3c(oc4cc(O)ccc34)C(=O)c2c1,0,0,0,1,1
186,Oc1ccc2c(C=C(c3ccccc3)C24Cc5ccccc5C4)c1,1,0,0,0,0
187,Oc1ccc2c3C(=O)c4c(O)cc(O)cc4Oc3oc2c1,1,0,0,0,1
188,Oc1cc(O)c2C(=O)c3oc4c(Br)cc(O)cc4c3Oc2c1,1,0,0,1,1
189,Oc1ccc2oc3C(=O)c4c(O)cc(O)cc4Oc3c2c1,1,0,0,1,1
190,OC[C@]12CC[C@H]([C@H](C1)C=CC2)c3ccc(O)cc3,1,1,0,0,0
191,Oc1cccc(c1)C2=Cc3ccc(O)cc3C24Cc5ccccc5C4,1,1,0,0,0
192,Oc1ccc2c3Oc4cc(O)cc(O)c4C(=O)c3oc2c1,1,0,0,0,1
193,Oc1ccc2Oc3c(oc4ccc(O)cc34)C(=O)c2c1,0,0,0,1,1
194,OC(=O)CCCOc1ccc(cc1)\C(=C\CCc2ccccc2)\c3cccc(O)c3,0,1,1,0,0
195,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCC(=O)O)cc2)\c3ccccc3,0,1,1,0,1
196,CC\C(=C(\c1ccc(OCC(=O)O)cc1)/c2cccc(O)c2)\c3ccccc3,0,1,1,0,1
197,OC(=O)CCCOc1ccc(cc1)\C(=C\CCc2ccccc2)\c3ccc(O)cc3,0,1,1,0,0
198,CC[C@@](C)([C@@H](c1ccc(O)cc1)c2ccc(OCCCC(=O)O)cc2)c3ccccc3,0,1,1,0,0
199,O\N=C/1\[C@H]([C@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
200,C[C@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
201,Oc1ccc2C(=O)[C@H]([C@H](Oc2c1)c3ccc(OCCN4CCCCC4)cc3)c5ccccc5,0,1,1,0,1
202,Cc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
203,C[C@@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
204,Oc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C(=O)[C@H]2c4ccc(O)cc4,0,0,0,0,1
205,CCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
206,CCCCCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
207,COc1cc(ccc1O)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
208,Oc1ccc(cc1)[C@@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
209,Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)cc(Cl)c3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
210,COc1cc(O)ccc1[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
211,CC(C)[C@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
212,Oc1ccc(cc1)[C@H]2[C@H](Oc3ccccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
213,Oc1ccc2c(OC(=O)c3c2oc4cc(O)ccc34)c1,0,0,0,1,1
